number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.841676 nan 112.344470 nan 111.600824 111.211438 112.287465 nan 113.931843 nan nan
2 56.471551 nan 56.539206 nan 56.039235 56.301203 56.495749 nan 57.450625 nan nan
4 29.208063 nan 29.300342 nan 28.071720 28.842929 29.654416 nan 29.641458 nan nan
8 15.360753 nan 15.575116 nan 13.948580 16.636702 16.535494 nan 15.729316 nan nan
16 9.204027 nan 9.338976 nan 7.023725 10.751980 10.453029 nan 8.979840 nan nan
32 6.610451 nan 30.362408 nan 29.774156 8.490929 18.858425 nan 6.076390 nan nan
64 8.549939 nan 34.351421 nan 30.670825 10.802506 35.657599 nan 4.850482 nan nan
128 17.810466 nan 25.375058 nan 25.042980 27.776839 31.432601 nan 4.592592 nan nan
256 20.340315 nan 18.206486 nan 18.046833 43.278831 30.076182 nan 5.003726 nan nan
512 21.073030 nan 18.481629 nan 18.012190 45.279694 28.446428 nan 5.330236 nan nan
1024 20.851055 nan 18.399465 nan 17.910750 46.446349 28.264176 nan 5.791065 nan nan
2048 25.882086 nan 19.727613 nan 18.790979 55.760921 29.229358 nan 11.441969 nan nan
4096 36.378091 nan 18.575971 nan 18.270349 69.507969 30.818175 nan 21.839791 nan nan
8192 39.231453 nan 17.343139 nan 19.051550 71.667211 31.979433 nan 26.368090 nan nan
16384 38.091940 nan 19.859545 nan 19.574232 69.010089 32.539635 nan 27.719654 nan nan
32768 38.327590 nan 19.500082 nan 19.796121 68.624938 33.908779 nan 27.249869 nan nan
65536 39.113605 nan 20.759793 nan 20.288009 67.067125 33.326435 nan 27.699657 nan nan
131072 38.271067 nan 29.664425 nan 30.785702 65.469882 36.110123 nan 27.438805 nan nan
262144 38.812322 nan 55.118541 nan 42.988862 65.249274 39.029625 nan 27.031126 nan nan
524288 38.557859 nan 54.496304 nan 54.182750 64.427370 39.273343 nan 26.763700 nan nan
1048576 38.639152 nan 48.013508 nan 52.804976 64.664658 53.446345 nan 27.458704 nan nan
2097152 39.911809 nan 43.016300 nan 44.116481 67.290407 42.821388 nan 27.240072 nan nan
4194304 41.861653 nan 35.073653 nan 37.850056 70.386858 50.547428 nan 27.927074 nan nan
