number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.305679 nan 111.727954 nan 113.241387 111.670590 111.521059 3333.543275 112.368174 nan nan
2 56.144955 nan 56.388364 nan 55.790014 56.296115 56.429949 1682.446988 57.084635 nan nan
4 28.993033 nan 29.661919 nan 28.030499 30.339072 29.720742 847.381411 29.382924 nan nan
8 15.637139 nan 15.438390 nan 14.019418 16.439708 16.945890 436.599567 15.584787 nan nan
16 8.635034 nan 9.264553 nan 6.996292 10.327408 10.493775 227.707112 8.676852 nan nan
32 6.005790 nan 5.634886 nan 4.097484 8.323397 6.730901 124.197888 5.692421 nan nan
64 5.692830 nan 4.004356 nan 3.006877 8.463072 5.477733 65.126292 4.331743 nan nan
128 6.550585 nan 3.550738 nan 2.425207 8.101757 5.196082 32.611801 4.301492 nan nan
256 7.682581 nan 3.591512 nan 2.638281 8.626190 4.915951 18.719722 4.424413 nan nan
512 8.604075 nan 3.738927 nan 2.758979 9.085346 5.044925 11.789025 4.754857 nan nan
1024 10.552711 nan 3.968773 nan 2.940362 10.264692 5.318713 9.627103 5.035936 nan nan
2048 15.495047 nan 4.915398 nan 3.280246 22.549716 6.699742 8.314333 11.872651 nan nan
4096 27.382339 nan 7.122340 nan 3.615063 32.106362 11.700521 8.763134 23.919952 nan nan
8192 33.286341 nan 9.613566 nan 4.019123 37.847482 13.554018 10.578790 28.666785 nan nan
16384 38.705796 nan 11.300563 nan 4.826725 42.604033 15.477219 11.619749 32.786358 nan nan
32768 41.210246 nan 12.012312 nan 5.835975 45.855993 16.379423 11.709843 34.594491 nan nan
65536 44.835669 nan 12.778586 nan 6.588293 49.257875 17.014058 12.105621 37.711411 nan nan
131072 47.926071 nan 13.456290 nan 7.463196 52.898773 17.685015 13.101172 39.505816 nan nan
262144 51.000997 nan 14.116772 nan 7.923427 56.030920 18.138111 13.524915 42.207569 nan nan
524288 54.655213 nan 14.593227 nan 8.443121 59.484277 18.753177 13.851689 44.554040 nan nan
1048576 57.622295 nan 15.251950 nan 9.080038 62.721413 19.342344 14.386628 46.745612 nan nan
2097152 61.353489 nan 15.817603 nan 9.689424 67.112346 20.104879 15.172528 48.921028 nan nan
4194304 64.232296 nan 16.534406 nan 10.271242 69.987985 20.571248 15.468871 50.584438 nan nan
