number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.759931 nan 112.107006 nan 113.598505 110.763985 111.686565 nan 113.780181 nan nan
2 56.420894 nan 56.311876 nan 55.954973 56.429043 56.731544 nan 57.047528 nan nan
4 28.972162 nan 28.882890 nan 28.087958 29.906520 29.227282 nan 29.521282 nan nan
8 15.173315 nan 15.695544 nan 14.015554 16.412538 16.082442 nan 16.058908 nan nan
16 9.247104 nan 9.087107 nan 7.050949 10.905659 10.627611 nan 8.960614 nan nan
32 7.134612 nan 6.056904 nan 4.207306 8.710649 8.136735 nan 5.843498 nan nan
64 8.822905 nan 4.678894 nan 3.114165 9.843477 7.234531 nan 4.747790 nan nan
128 7.609619 nan 4.001161 nan 2.773162 10.058065 7.407954 nan 4.609897 nan nan
256 7.744938 nan 4.100310 nan 2.582360 11.228198 7.835246 nan 4.604708 nan nan
512 8.246202 nan 4.370225 nan 2.959625 11.938892 8.144406 nan 5.305937 nan nan
1024 9.021664 nan 4.734762 nan 3.305644 14.276844 8.341025 nan 5.910403 nan nan
2048 14.892962 nan 5.177448 nan 3.669962 24.192927 9.807401 nan 11.477625 nan nan
4096 26.645617 nan 5.735185 nan 4.081091 36.547304 15.244121 nan 24.087399 nan nan
8192 33.064267 nan 9.751441 nan 4.525430 44.610226 21.829082 nan 31.340327 nan nan
16384 37.327300 nan 12.345016 nan 5.166126 50.386691 24.173527 nan 35.433807 nan nan
32768 42.030734 nan 13.370936 nan 6.361862 54.059088 26.118979 nan 37.921485 nan nan
65536 45.487881 nan 13.880449 nan 7.184574 57.289737 27.152497 nan 40.768755 nan nan
131072 48.272405 nan 14.939846 nan 7.979757 60.578848 29.581877 nan 42.047922 nan nan
262144 51.208323 nan 15.589969 nan 8.724912 63.780752 29.743325 nan 43.530640 nan nan
524288 54.675009 nan 16.721602 nan 9.428985 67.156216 30.439680 nan 45.827501 nan nan
1048576 57.889831 nan 16.953818 nan 10.185841 70.682766 31.563247 nan 47.478225 nan nan
2097152 61.819978 nan 17.912365 nan 10.924979 74.696541 32.891809 nan 50.166000 nan nan
4194304 64.387984 nan 18.494286 nan 11.763139 78.780897 33.987600 nan 52.558863 nan nan
