number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.303597 nan 112.041260 nan 112.221036 112.597069 113.194613 3341.277769 113.304654 nan nan
2 56.725923 nan 56.924794 nan 56.241115 57.634136 57.874765 1680.586925 57.820368 nan nan
4 29.652237 nan 29.880131 nan 28.798536 30.268708 30.783763 852.804857 30.562069 nan nan
8 16.047753 nan 16.611449 nan 14.030121 17.403090 17.575373 436.828301 17.539685 nan nan
16 10.251848 nan 10.838398 nan 7.007160 11.834217 11.942657 229.278249 11.522990 nan nan
32 8.099387 nan 5.833615 nan 4.058425 10.609694 7.056164 122.724680 4.881470 nan nan
64 12.024000 nan 4.172123 nan 2.799036 14.264075 5.778750 67.306472 3.277614 nan nan
128 2.801755 nan 3.558279 nan 1.997108 2.641366 5.161173 32.337308 2.572288 nan nan
256 2.279574 nan 3.385636 nan 2.223552 2.551672 4.595363 18.595103 2.487042 nan nan
512 2.408088 nan 3.621023 nan 2.252678 2.889304 4.740002 11.675821 2.401550 nan nan
1024 2.349179 nan 3.611769 nan 2.426176 2.676639 4.939837 8.588037 2.084888 nan nan
2048 2.690678 nan 3.799057 nan 2.516181 2.846316 5.092334 7.314485 2.103050 nan nan
4096 2.835394 nan 4.058165 nan 2.835885 2.865209 5.863638 8.385749 2.235817 nan nan
8192 3.234319 nan 5.250134 nan 2.885371 3.036678 8.088799 10.581328 2.366617 nan nan
16384 3.177219 nan 6.238093 nan 2.886847 3.205863 9.172353 11.622612 2.465250 nan nan
32768 3.345907 nan 6.414621 nan 3.060427 3.410342 9.994403 11.597950 2.680938 nan nan
65536 3.661454 nan 6.872416 nan 3.400092 3.564099 10.294875 11.718791 2.736953 nan nan
131072 3.962052 nan 7.183671 nan 3.820920 3.839262 11.245049 12.990702 3.050271 nan nan
262144 4.095578 nan 7.957525 nan 4.208986 4.070684 11.755219 13.318608 3.275559 nan nan
524288 4.501835 nan 8.154305 nan 4.584795 4.404893 12.239779 13.876724 3.536957 nan nan
1048576 4.533720 nan 8.372643 nan 4.820405 4.629775 12.861346 14.360671 3.886431 nan nan
2097152 4.782458 nan 8.640336 nan 5.073209 4.996806 13.014901 14.705061 4.000635 nan nan
4194304 5.397314 nan 9.217522 nan 5.696257 5.195810 13.476760 15.187562 4.373352 nan nan
